lookupTableId,teamName,teamDescription,teamAddress,teamHomepage,teamImageUrl
225SkQw1StupSJ5SAXoGzSywZbic4qjiVBFZHbt712NF,"Борщова Хата","Борщова Хата спеціалізується на приготуванні справжнього українського борщу та інших традиційних страв. Ми використовуємо тільки свіжі та натуральні інгредієнти.","вулиця Хрещатик 25, Київ, Україна","http://www.borshchovahata.ua","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
33qnCEioU62NtrJZ2JFHrrG4URXW2Kpzcbu9CCGthmBv,"Starry Virtual","Starry Virtual is a Vtuber group based in the US, creating engaging content ranging from live streams and gameplays to virtual concerts. Our goal is to bring joy and entertainment to fans worldwide.","1234 Main Street, Los Angeles, CA, USA","http://www.starryvirtual.com","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
5ZJW6bKd5PTuaJWLRZmM62HGnESUZDfiKASB6We5HyXR,"Львівська Пекарня","Львівська Пекарня виробляє свіжий хліб та випічку для місцевих мешканців та туристів. Ми пишаємося нашими традиційними рецептами та якістю нашої продукції.","вулиця Вірменська 20, Львів, Україна","http://www.lvivbakery.ua","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
8BQGK7hfUG1A1TQgtXozpb18ceqjtcekXdAicmBEAxxY,"Tokyo Indie Game Studio","Tokyo Indie Game Studioは、日本の東京に拠点を置くインディーゲーム開発チームで、クリエイティブで独自のゲームを制作しています。","東京都新宿区新宿3丁目","http://www.tokyoindiegamestudio.jp","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
8rnenCigJpoinf2VnS9zus9t6NULXbKDUGHtBkgoSTsr,"Одеса Школа Майбутнього","Одеса Школа Майбутнього це приватна школа в Одесі, яка надає сучасну освіту з фокусом на технології та інновації.","вулиця Дерибасівська 10, Одеса, Україна","http://www.odessafutureschool.ua","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
9YANjCPp99QvCdDRe2jy6piDhwDhardND7qynmT1rPn4,"Київська Танцювальна Команда","Київська Танцювальна Команда складається з талановитих танцюристів, які виконують різні стилі танців на місцевих і міжнародних змаганнях.","вулиця Володимирська 50, Київ, Україна","http://www.kyivdance.ua","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
AL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe,"Seattle Game Developers","Seattle Game Developers is a group of indie game developers in Seattle, WA, creating innovative and engaging games for various platforms.","1500 9th Ave, Seattle, WA, USA","https://www.sunnybreadbakery.ua","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
B7n5zW3jJtAVUHnYftiP67vuMfrQcdrpXFQx3wMEE2HC,"Brooklyn Indie Cinema","Brooklyn Indie Cinema is a small independent movie theater in Brooklyn, NY, showcasing indie films a hosting local film festivndals.","250 Kent Ave, Brooklyn, NY, USA","http://www.seattlegamedevs.com","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
D2hARpYWmS8mB1oWjb7wKuW1ZgKK4FpEmCN5BZMG1KPm,"San Francisco Vloggers","an Francisco Vloggers is a team of local vloggers creating engaging content about the city's lifestyle and culture. They aim to highlight the best aspects of San Francisco through their videos.","123 Market St, San Francisco, CA, USA","http://www.sfvloggers.com","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
DTybgVgisPZZxsuqq5Kx2BU6MowLBNAHorMY79gHnQPS,"Brighton Indie Band","Brighton Indie Band is a small music group from Brighton, UK, performing original indie music at local venues. They aim to bring fresh sounds to the community and support local music culture.","45 Western Rd, Brighton, UK","http://www.brooklynindiecinema.com","https://firebasestorage.googleapis.com/v0/b/solana-test-318b7.appspot.com/o/teamImages%2FAL74iTQmoz7fLNgC6XZy84o37ahjhTnyuZZ2PQ3UJrSe?alt=media&token=e87e4228-df83-4c9c-8b30-d7e4af3443bb"
